Pclass,Sex,SibSp,Parch,Embarked,Title,FamilySize,IsAlone,AgeGroup,FarePerPerson,FareBand
3,0,0,0,1,1,1,1,4,56.4958,4
2,0,0,0,1,1,1,1,4,0.0,1
1,0,0,0,1,1,1,1,5,221.7792,4
3,1,0,1,1,3,2,0,3,4.675,2
2,1,1,1,1,3,3,0,4,8.75,3
3,0,0,0,1,1,1,1,4,8.4333,2
3,0,0,0,1,1,1,1,4,56.4958,4
1,0,0,0,2,1,1,1,5,227.525,4
3,0,0,0,3,1,1,1,4,7.75,1
3,1,1,0,1,3,2,0,4,9.0,3
1,0,0,0,2,5,1,1,5,35.5,4
3,1,1,0,1,2,2,0,4,4.9125,2
3,0,8,2,1,1,11,0,4,6.322727272727272,4
1,0,0,0,1,1,1,1,5,26.55,3
3,0,0,0,1,1,1,1,4,7.8,1
1,1,1,0,3,2,2,0,4,45.0,4
3,0,0,0,3,1,1,1,4,7.7333,1
3,0,0,0,1,1,1,1,4,7.25,1
3,0,0,0,1,1,1,1,5,6.45,1
3,1,3,1,1,2,5,0,4,5.0933399999999995,3
3,0,1,0,1,1,2,0,4,8.05,3
1,1,0,0,2,2,1,1,4,76.2917,4
1,1,0,0,2,3,1,1,4,79.2,4
2,0,0,0,1,1,1,1,4,10.5,2
3,0,0,0,1,1,1,1,4,7.8958,1
2,1,0,0,1,3,1,1,5,13.5,2
3,0,0,0,1,1,1,1,4,7.8958,1
3,0,0,1,1,1,2,0,5,4.2021,2
1,1,1,1,2,2,3,0,5,27.71943333333333,4
3,0,0,0,1,1,1,1,3,8.05,2
3,0,0,0,1,1,1,1,4,7.8958,1
2,0,0,0,1,1,1,1,6,10.5,2
1,0,0,0,1,1,1,1,4,26.55,3
2,0,0,0,1,5,1,1,5,12.525,2
2,0,0,0,1,1,1,1,5,15.0,3
3,0,0,0,1,1,1,1,3,8.05,2
2,0,0,0,1,1,1,1,5,13.0,2
2,1,0,0,1,2,1,1,4,13.0,2
2,1,1,1,1,3,3,0,4,9.666666666666666,3
3,1,0,0,3,2,1,1,4,7.75,1
2,0,0,0,1,1,1,1,4,13.0,2
3,0,0,0,2,1,1,1,4,7.2292,1
2,1,0,0,1,3,1,1,4,13.0,2
3,0,0,0,1,1,1,1,4,7.775,1
3,1,1,0,1,2,2,0,4,3.9271,1
1,0,0,0,1,5,1,1,5,30.5,3
1,0,0,0,2,1,1,1,6,34.6542,4
3,0,0,0,1,1,1,1,4,7.925,2
3,0,0,0,1,1,1,1,4,7.65,1
3,0,1,0,3,1,2,0,4,7.75,3
3,1,0,0,1,2,1,1,4,9.8375,2
1,0,1,0,1,1,2,0,5,27.95,4
3,0,3,2,1,4,6,0,1,4.6499999999999995,3
1,1,1,2,1,3,4,0,5,30.0,4
1,0,1,0,1,1,2,0,4,26.55,4
1,1,0,0,2,2,1,1,4,31.0,3
3,0,0,0,1,1,1,1,4,56.4958,4
3,0,0,0,1,1,1,1,4,7.25,1
3,0,0,0,1,1,1,1,4,8.05,2
2,0,1,0,2,1,2,0,4,12.0,3
2,1,0,1,1,2,2,0,3,11.5,3
3,0,0,0,1,1,1,1,4,0.0,1
1,1,0,0,2,2,1,1,5,227.525,4
3,0,3,2,1,4,6,0,2,4.6499999999999995,3
2,0,0,0,1,1,1,1,4,0.0,1
3,1,1,1,1,3,3,0,4,3.4875000000000003,2
3,0,0,0,1,1,1,1,4,7.3125,1
3,0,1,0,1,1,2,0,4,7.925,3
3,1,1,5,1,3,7,0,5,4.4678571428571425,4
3,1,0,1,1,2,2,0,1,5.23125,2
2,0,0,0,1,1,1,1,4,10.5,2
3,0,0,0,2,1,1,1,4,7.225,1
3,0,4,1,1,1,6,0,3,6.614583333333333,4
1,1,1,0,1,3,2,0,4,26.0,4
1,0,0,2,2,1,3,0,3,36.9611,4
3,0,0,0,3,1,1,1,4,7.725,1
3,1,0,0,3,2,1,1,3,6.75,1
3,1,0,0,1,2,1,1,4,7.55,1
3,0,0,0,1,1,1,1,5,8.05,2
1,1,2,2,2,2,5,0,4,52.475,4
1,1,0,0,2,2,1,1,5,146.5208,4
2,1,1,2,2,2,4,0,1,10.3948,4
2,1,0,1,1,2,2,0,3,9.75,3
2,0,0,0,3,5,1,1,5,12.35,2
2,0,0,0,1,1,1,1,3,26.0,3
3,1,0,0,3,2,1,1,4,7.75,1
2,0,1,1,1,1,3,0,5,13.0,4
1,0,0,0,2,1,1,1,4,135.6333,4
2,0,0,0,1,1,1,1,4,13.0,2
3,0,0,0,1,1,1,1,3,8.6625,2
